I_D,FLAG_TSUNAMI,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,FOCAL_DEPTH,EQ_PRIMARY,EQ_MAG_MW,EQ_MAG_MS,EQ_MAG_MB,EQ_MAG_ML,EQ_MAG_MFA,EQ_MAG_UNK,INTENSITY,COUNTRY,STATE,LOCATION_NAME,LATITUDE,LONGITUDE,REGION_CODE,DEATHS,DEATHS_DESCRIPTION,MISSING,MISSING_DESCRIPTION,INJURIES,INJURIES_DESCRIPTION,DAMAGE_MILLIONS_DOLLARS,DAMAGE_DESCRIPTION,HOUSES_DESTROYED,HOUSES_DESTROYED_DESCRIPTION,HOUSES_DAMAGED,HOUSES_DAMAGED_DESCRIPTION,TOTAL_DEATHS,TOTAL_DEATHS_DESCRIPTION,TOTAL_MISSING,TOTAL_MISSING_DESCRIPTION,TOTAL_INJURIES,TOTAL_INJURIES_DESCRIPTION,TOTAL_DAMAGE_MILLIONS_DOLLARS,TOTAL_DAMAGE_DESCRIPTION,TOTAL_HOUSES_DESTROYED,TOTAL_HOUSES_DESTROYED_DESCRIPTION,TOTAL_HOUSES_DAMAGED,TOTAL_HOUSES_DAMAGED_DESCRIPTION,,
10160,,2015,10,17,11,33,    ,33,5.8,5.8,,,,,,7,ARGENTINA,,ARGENTINA:  GALPON,-25.442,-64.632,160,2,1,,,30,1,,1,15,1,,,2,1,,,30,1,,1,15,1,,,,
10159,,2015,10,26,9,9,56,231,7.5,7.5,,,,,,7,AFGHANISTAN,,AFGHANISTAN: HINDU KUSH,36.524,70.368,40,399,3,,,1770,4,109,4,29230,4,79893,4,399,3,,,1770,4,109,4,29230,4,79893,4,,
10343,,2015,11,4,3,44,19,20,6.5,6.5,,,,,,5,INDONESIA,,INDONESIA:  EAST NUSA TENGGARA:  ALOR,-8.338,124.875,60,,,,,,,9,3,,,1468,4,,,,,,,9,3,,,1468,4,,
10161,,2015,11,7,6,58,30,14,5.3,5.3,,,,,,,VENEZUELA,,VENEZUELA:  MERIDA,8.477,-71.365,160,1,1,,,,,,1,33,1,83,2,1,1,,,,,,1,33,1,83,2,,
10162,Tsu,2015,11,11,1,54,37,10,6.9,6.9,,,,,,7,CHILE,,CHILE:  LA SERENA,-29.439,-72.105,160,,,,,,,,,,,,,,,,,,,,,,,,,,
10163,Tsu,2015,11,13,20,51,3,12,6.7,6.7,,,,,,4,JAPAN,,JAPAN:  KYUSYU ISLAND,31.001,128.873,30,,,,,,,,,,,,,,,,,,,,,,,,,,
10164,Tsu,2015,11,17,7,10,3,11,6.5,6.5,,,,,,,GREECE,,GREECE:  LEFKADA, KEFALONIA, ITHACA,38.67,20.6,130,2,1,,,4,1,,2,1,1,,2,2,1,,,4,1,,2,1,1,,2
10344,,2015,11,17,17,29,29,18,5.6,5.6,,,,,,5,KYRGYZSTAN,,KYRGYZSTAN: OSH,40.376,73.204,40,,,,,,,,2,200,3,800,3,,,,,,,,2,200,3,800,3,,
10441,Tsu,2015,11,18,18,31,57,13,6.8,6.8,,,,,,4,SOLOMON ISLANDS,,SOLOMON ISLANDS,-8.899,158.422,170,,,,,,,,,,,,,,,,,,,,,,,,,,
10345,,2015,11,22,20,38,5,5,5.1,5.1,,,,,,4,VENEZUELA,,VENEZUELA:  MERIDA,8.48,-71.42,160,1,1,,,3,1,,1,,,6,1,1,1,,,3,1,,1,,,6,1,,
