US_Commercial Nuclear Power Reactors - Operating Reactors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Plant Name, Unit Number",NRC Reactor Unit Web Page ,Docket  Number,License Number,Location,NRC Region,Licensee,Parent Company Utility Name,Parent Company Website,Parent Company Notes,Reactor and Containment Type ,Nuclear Steam System Supplier and Design Type ,Architect-Engineer,Constructor ,Construction Permit Issued,Operating License Issued,Commercial Operation,Renewed Operating License Issued,Operating License Expires,Licensed MWt,Note,"2018 Capacity Factor
(Percent)","2017 Capacity Factor
(Percent)","2016 Capacity Factor
(Percent)",2015 Capacity Factor (Percent),2014 Capacity Factor (Percent),2013 Capacity Factor (Percent),2012 Capacity Factor (Percent),2011 Capacity Factor (Percent),2010 Capacity Factor (Percent),2009 Capacity Factor (Percent),2008 Capacity Factor (Percent),Years of Operation through 12/31/2019
"LaSalle County Station, Unit  1",La Salle 1,5000373,NPF-11,"Marseilles, IL (11 MI SE of Ottawa,  IL)",3,"Exelon Generation Co., LLC","Exelon Corporation, LLC",www.exeloncorp.com,,BWR-MARK 2,GE 5,S&L,CWE,9/10/1973,4/17/1982,1/1/1984,10/19/2016,4/17/1942,3546,,92%,96%,89%,99%,93%,95%,97%,101%,94%,99%,100%,37
"LaSalle County Station, Unit  2",La Salle 2,5000374,NPF-18,"Marseilles, IL (11 MI SE of Ottawa,  IL)",3,"Exelon Generation Co., LLC","Exelon Corporation, LLC",www.exeloncorp.com,,BWR-MARK 2,GE 5,S&L,CWE,9/10/1973,12/16/1983,10/19/1984,10/19/2016,12/16/1943,3546,,98%,88%,95%,83%,95%,88%,103%,96%,101%,93%,94%,36
"Limerick Generating Station, Unit 1",Limerick 1,5000352,NPF-39,"Limerick, PA (21 MI NW of Philadelphia,  PA)",1,"Exelon Generation Co., LLC","Exelon Corporation, LLC",www.exeloncorp.com,,BWR-MARK 2,GE 4,BECH,BECH,6/19/1974,8/8/1985,2/1/1986,10/20/2014,10/26/1944,3515,,92%,100%,93%,100%,91%,101%,85%,96%,91%,101%,95%,34
"Limerick Generating Station, Unit 2",Limerick 2,5000353,NPF-85,"Limerick, PA (21 MI NW of Philadelphia,  PA)",1,"Exelon Generation Co., LLC","Exelon Corporation, LLC",www.exeloncorp.com,,BWR-MARK 2,GE 4,BECH,BECH,6/19/1974,8/25/1989,1/8/1990,10/20/2014,6/22/1949,3515,,99%,86%,101%,89%,99%,94%,95%,90%,99%,94%,101%,30
"McGuire Nuclear Station, Unit 1",McGuire 1,5000369,NPF-9,"Huntersville, NC (17 MI N of Charlotte,  NC)",2,"Duke Energy Carolinas, LLC",Duke Energy,www.duke-energy.com,,PWR-ICECND,WEST 4LP,DUKE,DUKE,2/23/1973,5/27/1981,12/1/1981,12/5/2003,3/3/1941,3411,,100%,90%,89%,95%,82%,82%,105%,94%,92%,104%,87%,38
"McGuire Nuclear Station, Unit 2",McGuire 2,5000370,NPF-17,"Huntersville, NC (17 MI N of Charlotte,  NC)",2,"Duke Energy Carolinas, LLC",Duke Energy,www.duke-energy.com,,PWR-ICECND,WEST 4LP,DUKE,DUKE,2/23/1973,5/27/1983,3/1/1984,12/5/2003,3/3/1943,3411,,92%,86%,97%,87%,94%,95%,82%,91%,104%,94%,90%,36
"Millstone Power Station, Unit 2",Millstone 2,5000336,DPR-65,"Waterford, CT (3.2 MI WSW of New London,  CT)",1,"Dominion Nuclear Conneticut, Inc.",Dominion Generation,www.dom.com,,PWR-DRYAMB,CE,BECH,BECH,12/11/1970,9/26/1975,12/26/1975,11/28/2005,7/31/1935,2700,,82%,85%,93%,85%,85%,95%,83%,87%,97%,81%,86%,44
"Millstone Power Station, Unit 3",Millstone 3,5000423,NPF-49,"Waterford, CT (3.2 MI WSW of New London,  CT)",1,"Dominion Nuclear Conneticut, Inc.",Dominion Generation,www.dom.com,,PWR-DRYSUB,WEST 4LP,S&W,S&W,8/9/1974,1/31/1986,4/23/1986,11/28/2005,11/25/1945,3650,,100%,89%,83%,97%,87%,87%,100%,87%,86%,105%,88%,33
"Monticello Nuclear Generating Plant, Unit 1",Monticello,5000263,DPR-22,"Monticello, MN (30 MI NW of Minneapolis,  MN)",3,Northern States Power Company - Minnesota,Northern States Power Company Minnesota doing business as Xcel Energy,www.xcelenergy.com,,BWR-MARK 1,GE 3,BECH,BECH,6/19/1967,9/8/1970,6/30/1971,11/8/2006,9/8/1930,2004,"AEC issued a provisional OL on 09/08/1970, allowing commercial operation. The NRC issued a full-term OL on 01/09/1981.",99%,86%,93%,78%,78%,50%,101%,69%,94%,83%,97%,49
"Nine Mile Point Nuclear Station, Unit 1",Nine Mile Point 1,5000220,DPR-63,"Scriba, NY (6 MI NE of Oswego,  NY)",1,"Nine Mile Point Nuclear Station, LLC – Owner
Exelon Generation Company, LLC – Operator","Exelon Corporation, LLC",www.exeloncorp.com,,BWR-MARK 1,GE 2,NIAG,S&W,4/12/1965,12/26/1974,12/1/1969,10/31/2006,8/22/2029,1850,"AEC issued a provisional OL on 08/22/1969, allowing commercial operation. The NRC issued a full-term OL on 12/26/1974.",99%,87%,96%,88%,98%,88%,87%,84%,97%,92%,98%,45
"Nine Mile Point Nuclear Station, Unit 2",Nine Mile Point 2,5000410,NPF-69,"Scriba, NY (6 MI NE of Oswego,  NY)",1,"Nine Mile Point Nuclear Station, LLC – Owner
Exelon Generation Company, LLC – Operator","Exelon Corporation, LLC",www.exeloncorp.com,,BWR-MARK 2,GE 5,S&W,S&W,6/24/1974,7/2/1987,3/11/1988,10/31/2006,10/31/1946,3988,,90%,101%,92%,100%,87%,99%,83%,95%,89%,99%,90%,32
"North Anna Power Station, Unit 1",North Anna 1,5000338,NPF-4,"Mineral (Louisa County), VA (40 MI NW of Richmond,  VA)",2,Virginia Electric & Power Co.,Dominion Generation,www.dom.com,,PWR-DRYSUB,WEST 3LP,S&W,S&W,2/19/1971,4/1/1978,6/6/1978,3/20/2003,4/1/1938,2940,,90%,99%,89%,91%,100%,89%,89%,78%,86%,92%,101%,41
"North Anna Power Station, Unit 2",North Anna 2,5000339,NPF-7,"Mineral (Louisa County), VA (40 MI NW of Richmond,  VA)",2,Virginia Electric & Power Co.,Dominion Generation,www.dom.com,,PWR-DRYSUB,WEST 3LP,S&W,S&W,2/19/1971,8/21/1980,12/14/1980,3/20/2003,8/21/1940,2940,,99%,89%,87%,99%,92%,85%,99%,76%,100%,100%,82%,39
"Oconee Nuclear Station, Unit 1",Oconee 1,5000269,DPR-38,"Seneca, SC (30 MI W of Greenville,  SC)",2,"Duke Energy Carolinas, LLC",Duke Energy,www.duke-energy.com,,PWR-DRYAMB,B&W LLP,DBDB,DUKE,11/6/1967,2/6/1973,7/15/1973,5/23/2000,2/6/1933,2568,,90%,95%,83%,96%,91%,91%,90%,79%,100%,85%,84%,46
"Oconee Nuclear Station, Unit 2",Oconee 2,5000270,DPR-47,"Seneca, SC (30 MI W of Greenville,  SC)",2,"Duke Energy Carolinas, LLC",Duke Energy,www.duke-energy.com,,PWR-DRYAMB,B&W LLP,DBDB,DUKE,11/6/1967,10/6/1973,9/9/1974,5/23/2000,10/6/1933,2568,,100%,88%,98%,89%,101%,82%,102%,93%,91%,103%,86%,46
"Oconee Nuclear Station, Unit 3",Oconee 3,5000287,DPR-55,"Seneca, SC (30 MI W of Greenville,  SC)",2,"Duke Energy Carolinas, LLC",Duke Energy,www.duke-energy.com,,PWR-DRYAMB,B&W LLP,DBDB,DUKE,11/6/1967,7/19/1974,12/16/1974,5/23/2000,7/19/1934,2568,,92%,97%,91%,97%,92%,97%,86%,103%,91%,94%,102%,45
